,capacity,eightd_has_key_dispenser,eightd_station_services,electric_bike_surcharge_waiver,external_id,has_kiosk,lat,lon,name,region_id,rental_methods,rental_url,short_name,station_id,date
0,39,False,"[{u'description': u'Citi Bike Station Valet attendant service available', u'bikes_availability': u'UNLIMITED', u'schedule_description': u'', u'link_for_more_info': u'https://www.citibikenyc.com/valet', u'docks_availability': u'NONE', u'service_type': u'ATTENDED_SERVICE', u'id': u'e73b6bfb-961f-432c-a61b-8e94c42a1fba', u'name': u'Valet Service'}]",False,66db3c29-0aca-11e7-82f6-3863bb44ef7c,True,40.73047309,-73.98672378,E 11 St & 2 Ave,71,"[u'KEY', u'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=237,5746.04,237,2019-10-27 20:53:58
1,58,False,"[{u'description': u'Citi Bike Station Valet attendant service available', u'bikes_availability': u'UNLIMITED', u'schedule_description': u'', u'link_for_more_info': u'https://www.citibikenyc.com/valet', u'docks_availability': u'NONE', u'service_type': u'ATTENDED_SERVICE', u'id': u'c36f6075-0d24-479b-8018-30790d303769', u'name': u'Valet Service'}]",False,66db6aae-0aca-11e7-82f6-3863bb44ef7c,True,40.72217444,-73.98368779,E 2 St & Avenue B,71,"[u'KEY', u'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=301,5515.02,301,2019-10-27 20:53:58
2,33,True,"[{u'description': u'Citi Bike station Valet attendant service available', u'bikes_availability': u'UNLIMITED', u'schedule_description': u'', u'link_for_more_info': u'https://www.citibikenyc.com/valet', u'docks_availability': u'NONE', u'service_type': u'ATTENDED_SERVICE', u'id': u'a58d9e34-2f28-40eb-b4a6-c8c01375657a', u'name': u'Valet Service'}]",False,66db6da2-0aca-11e7-82f6-3863bb44ef7c,True,40.70463334,-74.01361706,Broadway & Battery Pl,71,"[u'KEY', u'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=304,4962.01,304,2019-10-27 20:53:58
3,30,False,"[{u'description': u'Citi Bike Valet station attendant service available ', u'bikes_availability': u'UNLIMITED', u'schedule_description': u'', u'link_for_more_info': u'https://www.citibikenyc.com/valet', u'docks_availability': u'NONE', u'service_type': u'ATTENDED_SERVICE', u'id': u'6196015b-7b16-469e-8b23-405d173765f1', u'name': u'Valet Service'}]",False,66db6f2e-0aca-11e7-82f6-3863bb44ef7c,True,40.71427487,-73.98990025,Canal St & Rutgers St,71,"[u'KEY', u'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=307,5303.08,307,2019-10-27 20:53:58
4,37,False,"[{u'description': u'Citi Bike station Valet attendant service available', u'bikes_availability': u'UNLIMITED', u'schedule_description': u'', u'link_for_more_info': u'https://www.citibikenyc.com/valet', u'docks_availability': u'NONE', u'service_type': u'ATTENDED_SERVICE', u'id': u'8ec29d39-9642-466a-9a20-aad1e5c4788a', u'name': u'Valet Service'}]",False,66db9925-0aca-11e7-82f6-3863bb44ef7c,True,40.7037992,-74.00838676,Old Slip & Front St,71,"[u'KEY', u'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=337,4993.12,337,2019-10-27 20:53:58
5,35,False,"[{u'description': u'CitiBike Station Valet attendant service available.', u'bikes_availability': u'UNLIMITED', u'schedule_description': u'', u'link_for_more_info': u'https://www.citibikenyc.com/valet', u'docks_availability': u'NONE', u'service_type': u'ATTENDED_SERVICE', u'id': u'6a00be67-3935-4ada-a20d-8007831afb85', u'name': u'Valet Service'}]",False,66dbbeda-0aca-11e7-82f6-3863bb44ef7c,True,40.728846,-74.008591,Greenwich St & W Houston St,71,"[u'KEY', u'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=347,5730.08,347,2019-10-27 20:53:58
6,28,False,"[{u'description': u'Citi Bike Station Valet attendant service available', u'bikes_availability': u'UNLIMITED', u'schedule_description': u'', u'link_for_more_info': u'https://www.citibikenyc.com/valet', u'docks_availability': u'NONE', u'service_type': u'ATTENDED_SERVICE', u'id': u'6ecaa5fa-aae3-48ae-91c1-6f4051fa6b20', u'name': u'Valet Service'}]",False,66dbc420-0aca-11e7-82f6-3863bb44ef7c,True,40.71559509,-73.9870295,Clinton St & Grand St,71,"[u'KEY', u'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=350,5303.06,350,2019-10-27 20:53:58
7,50,False,"[{u'description': u'Citi Bike Station Valet attendant service available', u'bikes_availability': u'UNLIMITED', u'schedule_description': u'', u'link_for_more_info': u'https://www.citibikenyc.com/valet', u'docks_availability': u'NONE', u'service_type': u'ATTENDED_SERVICE', u'id': u'5d546872-d434-44e1-b80e-aff7acc18eb3', u'name': u'Valet Service'}]",False,66dbc8f5-0aca-11e7-82f6-3863bb44ef7c,True,40.73291553,-74.00711384,Christopher St & Greenwich St,71,"[u'KEY', u'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=358,5847.01,358,2019-10-27 20:53:58
8,47,False,"[{u'description': u'Citi Bike Valet station attendant service available', u'bikes_availability': u'UNLIMITED', u'schedule_description': u'', u'link_for_more_info': u'https://www.citibikenyc.com/valet', u'docks_availability': u'NONE', u'service_type': u'ATTENDED_SERVICE', u'id': u'82b94401-0c20-45f5-b007-86ae46bec976', u'name': u'Valet Service'}]",False,66dbe441-0aca-11e7-82f6-3863bb44ef7c,True,40.72243797,-74.00566443,6 Ave & Canal St,71,"[u'KEY', u'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=377,5500.07,377,2019-10-27 20:53:58
9,39,False,"[{u'description': u'Citi Bike Valet station attendant service available ', u'bikes_availability': u'UNLIMITED', u'schedule_description': u'', u'link_for_more_info': u'https://www.citibikenyc.com/valet', u'docks_availability': u'NONE', u'service_type': u'ATTENDED_SERVICE', u'id': u'37a1ae1b-3dd6-4876-8c57-572aaac97981', u'name': u'Valet Service'}]",False,66dbf0d0-0aca-11e7-82f6-3863bb44ef7c,True,40.7403432,-73.98955109,Broadway & E 22 St,71,"[u'KEY', u'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=402,6098.07,402,2019-10-27 20:53:58
